IncidentID,AgencyORI,AgencyName,IncidentStatusDesc,County,RdwyNumber,Street,RoadwayName,StreetSfx,StreetDir,IntersectionRdwy,IntersectionRdwyName,BetweenStRdwy1,BetweenStRdwyName1,BetweenStRdwy2,BetweenStRdwyName2,Latitude,Longitude,Milepoint,CollisionDate,CollisionTime,UnitsInvolved,MotorVehiclesInvolved,NumberKilled,NumberInjured,Weather,RdwyConditionCode,HitandRun,DirAnalysisCode,MannerofCollision,RdwyCharacter,LightCondition,RampFromRdwyId,RampToRdwyId,AcceptedDate,IsSecondaryCollision,OwnerBadge,IncidentStatus,InjurySeverityCde,KABCO Code,KABCO,Environmental_Factors,Human_Factors,Vehicular_Factors
34623656,0870000,MONTGOMERY CTY SHERIFF DEPT,Accepted,MONTGOMERY,KY0646,,NEST EGG,RD,,,,,,,,37.95889455,-83.9764511,7.056,4/5/2025,1419,2,2,0,0,RAINING,WET,FALSE,SIDESWIPE COLLISION - OPPOSITE DIRECTION,SIDESWIPE-OPPOSITE DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,,,45758.57873,FALSE,238,Accepted,5,5,O,,MISJUDGE CLEARANCE,
34623663,0870000,MONTGOMERY CTY SHERIFF DEPT,Accepted,MONTGOMERY,KY0646,1204,KIDDVILLE,RD,,,,,,,,37.99820454,-83.96782919,10.365,4/10/2025,1530,1,1,0,0,CLEAR,DRY,FALSE,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,45758.57887,FALSE,238,Accepted,5,5,O,,MISJUDGE CLEARANCE,
34623664,0870000,MONTGOMERY CTY SHERIFF DEPT,Accepted,MONTGOMERY,KY0213,,BEDFORD,RD,,,,,,,,37.97775292,-83.85311834,5.369,4/6/2025,2156,1,1,0,0,RAINING,WET,FALSE,OTHER ROADWAY OR MID-BLOCK COLLISION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,,,45758.57892,FALSE,255,Accepted,5,5,O,SLIPPERY SURFACE,"FAILED TO KEEP PROPER LANE, NOT UNDER PROPER CONTROL, TOO FAST FOR CONDITIONS",
34624005,0870000,MONTGOMERY CTY SHERIFF DEPT,Accepted,MONTGOMERY,,618,DOE RUN,DR,,,,,,,,38.07313501,-83.91942931,0.142,4/8/2025,1352,2,2,0,0,CLEAR,DRY,FALSE,VEHICLE BACKING NON INTERSECTION,BACKING,STRAIGHT & LEVEL,DAYLIGHT,,,45758.61619,FALSE,228,Accepted,5,5,O,,,
34624006,0870000,MONTGOMERY CTY SHERIFF DEPT,Accepted,MONTGOMERY,KY0686,,INDIAN MOUND,DR,,,OLD OWINGSVILLE,,,,,38.07154537,-83.91678861,6.082,4/8/2025,1617,2,2,0,0,CLEAR,DRY,FALSE,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,45758.61623,FALSE,228,Accepted,5,5,O,,,
34630850,0870100,MT. STERLING POLICE DEPARTMENT,Accepted,MONTGOMERY,US0460,,MAYSVILLE,ST,N,,,,,,,38.07666567,-83.94925082,8.1,4/11/2025,1551,3,3,0,2,CLOUDY,DRY,FALSE,OTHER ROADWAY OR MID-BLOCK COLLISION,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,45760.96869,FALSE,163,Accepted,5,4,C,,INATTENTION,
34635731,0870100,MT. STERLING POLICE DEPARTMENT,Accepted,MONTGOMERY,US0460,521,MAYSVILLE,ST,N,,CULPEPPER,,,,,38.07006011,-83.94670891,8.578,4/11/2025,1646,3,3,0,1,CLOUDY,DRY,FALSE,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,45761.75211,FALSE,121,Accepted,5,3,B,,INATTENTION,
34640432,0870100,MT. STERLING POLICE DEPARTMENT,Accepted,MONTGOMERY,KY0686,806,INDIAN MOUND,DR,,,,,,,,38.06292528,-83.95533868,1.027,4/8/2025,2017,2,2,0,3,CLEAR,DRY,FALSE,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DUSK,,,45762.69694,FALSE,154,Accepted,5,4,C,,INATTENTION,
34640433,0870100,MT. STERLING POLICE DEPARTMENT,Accepted,MONTGOMERY,US0060,,MAIN,ST,E,,WILSON,,,,,38.05674099,-83.94068377,5.206,4/14/2025,1510,2,2,0,1,CLEAR,DRY,FALSE,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,45762.697,FALSE,128,Accepted,5,3,B,VIEW OBSTRUCTED/LIMITED DUE TO RDWY,INATTENTION,
34640573,0870000,MONTGOMERY CTY SHERIFF DEPT,Accepted,MONTGOMERY,,,OLD OWINGSVILLE,RD,,,,,,,,38.07128006,-83.91856161,1.193,3/25/2025,1227,2,2,0,0,CLOUDY,DRY,FALSE,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,45762.71555,FALSE,226,Accepted,5,5,O,,FAILED TO YIELD RIGHT OF WAY,
34640574,0870000,MONTGOMERY CTY SHERIFF DEPT,Accepted,MONTGOMERY,,,SMITH,ST,,,,,,,,38.06134437,-83.93036505,0.062,4/3/2025,752,2,2,0,1,RAINING,WET,FALSE,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & GRADE,DAYLIGHT,,,45762.71563,FALSE,226,Accepted,5,4,C,OTHER,FAILED TO YIELD RIGHT OF WAY,
34640594,0870000,MONTGOMERY CTY SHERIFF DEPT,Accepted,MONTGOMERY,KY0713,8025,SPENCER,PIKE,,,,,,,,38.02672703,-83.80617122,14.827,4/11/2025,2013,1,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH ANIMAL NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & HILLCREST,DUSK,,,45762.71595,FALSE,298,Accepted,4,4,C,ANIMALS ACTION,,
34640853,0870000,MONTGOMERY CTY SHERIFF DEPT,Accepted,MONTGOMERY,US0460,,MAIN,ST,,,,,,,,37.96818707,-83.82201397,19.072,4/13/2025,1132,1,1,0,0,CLEAR,DRY,FALSE,COLLISION WITH ANIMAL NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,45762.72052,FALSE,226,Accepted,5,5,O,ANIMALS ACTION,,
34640874,0870000,MONTGOMERY CTY SHERIFF DEPT,Accepted,MONTGOMERY,US0460,3403,CAMARGO,RD,,,,,,,,37.99959384,-83.89747489,14.326,4/10/2025,1656,2,2,0,0,CLEAR,DRY,FALSE,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,45762.72095,FALSE,227,Accepted,5,5,O,,,
34640875,0870000,MONTGOMERY CTY SHERIFF DEPT,Accepted,MONTGOMERY,US0460,,PARIS,RD,,,,,,,,38.10321431,-84.01270863,3.566,4/11/2025,825,1,1,0,0,CLOUDY,WET,FALSE,RAN OFF ROADWAY (1 VEHICLE WITH/EARTH EMBANKMENT/DITCH),SINGLE VEHICLE,CURVE & GRADE,DAYLIGHT,,,45762.72101,FALSE,228,Accepted,5,5,O,"OTHER, SLIPPERY SURFACE",,
34640876,0870000,MONTGOMERY CTY SHERIFF DEPT,Accepted,MONTGOMERY,KY0011,5102,MAYSVILLE,RD,,,,,,,,38.10744442,-83.95517004,11.409,4/7/2025,1500,1,1,0,0,CLEAR,DRY,TRUE,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,45762.72106,FALSE,228,Accepted,5,5,O,,INATTENTION,
34640877,0870000,MONTGOMERY CTY SHERIFF DEPT,Accepted,MONTGOMERY,,523,HIGHLAND,AVE,,,,,,,,38.06966847,-83.9202698,0.091,4/12/2025,820,2,2,0,0,CLEAR,DRY,FALSE,1 VEHICLE PARKED POSITION (NOT PARKING LOT/DRIVEWAY),BACKING,STRAIGHT & LEVEL,DAYLIGHT,,,45762.72112,FALSE,228,Accepted,5,5,O,,,
34646036,0870100,MT. STERLING POLICE DEPARTMENT,Accepted,MONTGOMERY,KY0686,,INDIAN MOUND,DR,,,MT STERLING,,,,,38.07340816,-83.95113362,0.171,3/27/2025,1440,2,2,0,0,CLEAR,DRY,FALSE,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,45763.81677,FALSE,120,Accepted,5,5,O,,INATTENTION,
34646039,0870100,MT. STERLING POLICE DEPARTMENT,Accepted,MONTGOMERY,US0060,,MAIN,ST,W,,,,,,,38.05464022,-83.94899895,4.73,4/15/2025,1120,2,2,0,0,CLEAR,DRY,FALSE,HEAD-ON COLLISION,HEAD ON,CURVE & HILLCREST,DAYLIGHT,,,45763.81694,FALSE,167,Accepted,5,5,O,,"DRUG INVOLVEMENT, FAILED TO KEEP PROPER LANE, NOT UNDER PROPER CONTROL",
34651314,0870100,MT. STERLING POLICE DEPARTMENT,Accepted,MONTGOMERY,KY0686,,INDIAN MOUND,DR,,,,,,,,38.05489485,-83.95611043,1.583,4/17/2025,700,2,2,0,0,CLEAR,DRY,FALSE,SIDESWIPE COLLISION - SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,,,45764.96434,FALSE,157,Accepted,5,5,O,,INATTENTION,
34651316,0870100,MT. STERLING POLICE DEPARTMENT,Accepted,MONTGOMERY,US0460,,CAMARGO,RD,,,,,,,,38.04145632,-83.93404984,10.736,4/6/2025,415,2,2,0,0,RAINING,WET,FALSE,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DARK-HWY LIGHTED/ON,,,45764.96444,FALSE,157,Accepted,5,5,O,,DISTRACTION,
34651317,0870100,MT. STERLING POLICE DEPARTMENT,Accepted,MONTGOMERY,KY0686,,INDIAN MOUND,DR,,,,,,,,38.0741795,-83.94837967,0.006,3/27/2025,1345,2,2,0,0,CLEAR,DRY,FALSE,OTHER ROADWAY OR MID-BLOCK COLLISION,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,45764.9645,FALSE,149,Accepted,5,5,O,,INATTENTION,
34661477,0870100,MT. STERLING POLICE DEPARTMENT,Accepted,MONTGOMERY,KY0646,,KIDDVILLE,RD,,,,,,,,38.00911984,-83.95051978,11.591,3/31/2025,1641,2,2,0,0,CLOUDY,DRY,TRUE,SIDESWIPE COLLISION - OPPOSITE DIRECTION,SIDESWIPE-OPPOSITE DIRECTION,STRAIGHT & LEVEL,DAYLIGHT,,,45768.17587,FALSE,121,Accepted,5,5,O,,INATTENTION,
34661570,0870100,MT. STERLING POLICE DEPARTMENT,Accepted,MONTGOMERY,US0460,620,MAYSVILLE,ST,N,,,,,,,38.07201751,-83.94762418,8.443,3/27/2025,1534,2,2,0,0,CLEAR,DRY,FALSE,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,45768.21354,FALSE,162,Accepted,5,5,O,,FOLLOWING TOO CLOSE,
34664376,0870000,MONTGOMERY CTY SHERIFF DEPT,Accepted,MONTGOMERY,KY0213,3955,KY213,,S,,,,,,,37.92978835,-83.86487245,,3/17/2025,956,1,1,0,1,CLOUDY,WET,FALSE,OTHER COLLISIONS ON SHOULDER,SINGLE VEHICLE,CURVE & LEVEL,DAYLIGHT,,,45768.62888,FALSE,221,Accepted,5,2,A,"IMPROPERLY PARKED VEHICLE(S), SLIPPERY SURFACE",INATTENTION,STEERING FAILURE
34664385,0870000,MONTGOMERY CTY SHERIFF DEPT,Accepted,MONTGOMERY,KY0686,,INDIAN MOUND,DR,,,,,,,,38.07301589,-83.91766776,6.195,4/16/2025,1859,2,2,0,1,CLEAR,DRY,FALSE,1 VEHICLE ENTERING/LEAVING ENTRANCE,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,45768.62905,FALSE,284,Accepted,5,3,B,GLARE (SUN),INATTENTION,
34664386,0870000,MONTGOMERY CTY SHERIFF DEPT,Accepted,MONTGOMERY,,5119,STAFFORD,ST,S,,,,,,,37.99683924,-83.88997189,0.121,4/17/2025,1615,2,2,0,0,CLEAR,DRY,FALSE,OTHER ROADWAY OR MID-BLOCK COLLISION,REAR TO REAR,STRAIGHT & LEVEL,DAYLIGHT,,,45768.62909,FALSE,252,Accepted,5,5,O,,INATTENTION,
34664390,0870000,MONTGOMERY CTY SHERIFF DEPT,Accepted,MONTGOMERY,US0060,,WINCHESTER,RD,,,,,,,,38.05275346,-83.96710022,3.726,4/15/2025,254,1,1,0,0,CLEAR,DRY,FALSE,COLLISION WITH ANIMAL NON INTERSECTION,SINGLE VEHICLE,STRAIGHT & LEVEL,DARK-HWY NOT LIGHTED,,,45768.62916,FALSE,255,Accepted,5,5,O,ANIMALS ACTION,,
34670491,0870100,MT. STERLING POLICE DEPARTMENT,Accepted,MONTGOMERY,US0460,,MAYSVILLE,ST,N,,WINN,,,,,38.06379323,-83.94471486,9.026,4/15/2025,1604,2,2,0,0,CLEAR,DRY,FALSE,SIDESWIPE-SAME DIRECTION,SIDESWIPE-SAME DIRECTION,STRAIGHT & HILLCREST,DAYLIGHT,,,45769.92365,FALSE,166,Accepted,5,5,O,,INATTENTION,
34675360,0870100,MT. STERLING POLICE DEPARTMENT,Accepted,MONTGOMERY,,,MAYSVILLE,ST,S,,,,,,,38.05603009,-83.94193302,0.027,4/17/2025,1317,2,2,0,0,CLEAR,DRY,FALSE,VEHICLE BACKING NON INTERSECTION,BACKING,STRAIGHT & LEVEL,DAYLIGHT,,,45770.99475,FALSE,120,Accepted,5,5,O,,"IMPROPER BACKING, INATTENTION",
34676978,0870000,MONTGOMERY CTY SHERIFF DEPT,Accepted,MONTGOMERY,US0460,,MAIN,ST,,,,,,,,37.96403654,-83.81087033,19.762,4/18/2025,1118,1,1,0,0,CLEAR,DRY,FALSE,OTHER ROADWAY OR MID-BLOCK COLLISION,SINGLE VEHICLE,STRAIGHT & LEVEL,DAYLIGHT,,,45771.41231,FALSE,238,Accepted,5,5,O,DEBRIS IN ROADWAY,,
34676979,0870000,MONTGOMERY CTY SHERIFF DEPT,Accepted,MONTGOMERY,KY0213,,KY213,,,,WELCH,,,,,37.96821932,-83.85816604,4.643,4/18/2025,1257,2,2,0,1,CLEAR,DRY,FALSE,ANGLE COLLISION - OTHER,ANGLE,CURVE & LEVEL,DAYLIGHT,,,45771.41234,FALSE,238,Accepted,3,3,B,,"FAILED TO YIELD RIGHT OF WAY, INATTENTION",
34676980,0870000,MONTGOMERY CTY SHERIFF DEPT,Accepted,MONTGOMERY,KY0011,,LEVEE,RD,,,,,,,,38.0225394,-83.94875936,7.979,4/19/2025,1121,2,2,0,0,CLOUDY,DRY,TRUE,HEAD-ON COLLISION,HEAD ON,STRAIGHT & LEVEL,DAYLIGHT,,,45771.41238,FALSE,238,Accepted,5,5,O,,,LOAD SECUREMENT
34686391,0870100,MT. STERLING POLICE DEPARTMENT,Accepted,MONTGOMERY,US0460,,MAYSVILLE,ST,N,,EVANS,,,,,38.07566518,-83.94886817,8.172,4/24/2025,1750,2,2,0,0,CLOUDY,DRY,FALSE,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,45773.81643,FALSE,121,Accepted,5,5,O,,INATTENTION,
34686394,0870100,MT. STERLING POLICE DEPARTMENT,Accepted,MONTGOMERY,US0460,,MAYSVILLE,ST,N,,,,,,,38.07675182,-83.94908616,8.092,4/18/2025,1608,2,2,0,0,CLEAR,DRY,FALSE,REAR END IN TRAFFIC LANES BOTH VEHICLES MOVING,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,45773.8165,FALSE,163,Accepted,5,5,O,,NOT UNDER PROPER CONTROL,OTHER
34693524,0870000,MONTGOMERY CTY SHERIFF DEPT,Accepted,MONTGOMERY,,,RIDGEWOOD,LN,,,OLD OWINGSVILLE,,,,,38.06990749,-83.92238448,0.001,4/25/2025,1043,2,2,0,0,RAINING,WET,FALSE,ANGLE COLLISION - OTHER,ANGLE,STRAIGHT & LEVEL,DAYLIGHT,,,45775.63886,FALSE,228,Accepted,5,5,O,,FAILED TO YIELD RIGHT OF WAY,
34693525,0870000,MONTGOMERY CTY SHERIFF DEPT,Accepted,MONTGOMERY,US0060,,WINCHESTER,RD,,,COLLINS,,,,,38.05295583,-83.96513982,3.832,4/25/2025,1948,2,2,0,0,RAINING,WET,FALSE,OTHER INTERSECTION COLLISIONS,REAR END,STRAIGHT & LEVEL,DAYLIGHT,,,45775.6389,FALSE,298,Accepted,5,5,O,,"INATTENTION, NOT UNDER PROPER CONTROL",
34693526,0870000,MONTGOMERY CTY SHERIFF DEPT,Accepted,MONTGOMERY,KY0713,,SPENCER,PIKE,,,,,,,,38.02632258,-83.7952133,15.458,4/22/2025,1116,1,1,0,1,CLEAR,DRY,FALSE,COLLISION WITH FIXED OBJECT NON - INTERSECTION - FIRST EVENT COLLISION 09 - 32 EXCLUDING 16,SINGLE VEHICLE,CURVE & LEVEL,DAYLIGHT,,,45775.63893,FALSE,226,Accepted,5,4,C,,"MISJUDGE CLEARANCE, NOT UNDER PROPER CONTROL",
